Y Position (mm),Normalized Experimental Density,Experimental Error,Abel Y Position (mm),Inverse Abel Density
,,,-1.865,0.12389262359492782
,,,-1.86,0.11731896120783317
,,,-1.855,0.12993521838885197
,,,-1.85,0.15035007683212043
,,,-1.845,0.11226300382712315
,,,-1.84,0.14885992439306708
,,,-1.835,0.15908991042216916
,,,-1.83,0.15762476838803224
,,,-1.825,0.1382100747525096
,,,-1.82,0.13663976507618333
,,,-1.815,0.1346123958522521
,,,-1.81,0.1149509212357109
,,,-1.805,0.12085963528554601
,,,-1.8,0.154737280234554
,,,-1.795,0.0864132912454366
,,,-1.79,0.1156840542947243
,,,-1.7850000000000001,0.12693275278367433
,,,-1.78,0.10743219177836749
,,,-1.7750000000000001,0.11218022967383137
,,,-1.77,0.104615041330346
,,,-1.7650000000000001,0.12384804582391455
,,,-1.76,0.05657382799603574
,,,-1.7550000000000001,0.0855042630968896
,,,-1.75,0.10737244732917553
,,,-1.745,0.07549675180162631
,,,-1.74,0.06888767687839978
,,,-1.735,0.08607032519781992
,,,-1.73,0.09194239268155532
,,,-1.725,0.0952971317168234
,,,-1.72,0.11116373545767295
,,,-1.715,0.11103459109307655
,,,-1.71,0.10809766202834076
,,,-1.705,0.12309481444148086
,,,-1.7,0.05922103495966386
,,,-1.695,0.10392727923405516
,,,-1.69,0.11084443927023038
,,,-1.685,0.08884208116564253
,,,-1.68,0.0808477009805953
,,,-1.675,0.07254092269203924
,,,-1.67,0.12450051995636502
,,,-1.665,0.13180922848572704
,,,-1.6600000000000001,0.13154994802751352
,,,-1.655,0.07696534831912787
,,,-1.6500000000000001,0.07439120356125725
,,,-1.645,0.055207321224873054
,,,-1.6400000000000001,0.07723250197233923
,,,-1.635,0.08128760746592849
,,,-1.6300000000000001,0.09469393544588622
,,,-1.625,0.11856221206524065
,,,-1.62,0.16343615606794915
,,,-1.615,0.14296563327224024
,,,-1.61,0.11501350449902781
,,,-1.605,0.13685120482740032
,,,-1.6,0.11845766207939222
,,,-1.595,0.097797014819228
,,,-1.59,0.10403599299296543
,,,-1.585,0.1273975843358778
,,,-1.58,0.11126300026226939
,,,-1.575,0.10323242561023488
,,,-1.57,0.12052919853068095
,,,-1.565,0.10749701752260722
,,,-1.56,0.1556833645266148
,,,-1.555,0.15187715349870456
,,,-1.55,0.13158720698068047
,,,-1.545,0.16739148932677103
,,,-1.54,0.15711612755148993
,,,-1.5350000000000001,0.1546206122301215
,,,-1.53,0.12694849021756383
,,,-1.5250000000000001,0.13254698198918294
,,,-1.52,0.09752583683398172
,,,-1.5150000000000001,0.07493994579111507
,,,-1.51,0.08387990996791364
,,,-1.5050000000000001,0.12333934254366237
,,,-1.5,0.13741908664817112
,,,-1.495,0.1253202938278752
,,,-1.49,0.11636499064868062
,,,-1.485,0.17372473627688664
,,,-1.48,0.16153048055329586
,,,-1.475,0.1328007811669643
,,,-1.47,0.1181066549302701
,,,-1.465,0.11010580589080424
,,,-1.46,0.13211643939766737
,,,-1.455,0.08617980527683555
,,,-1.45,0.137199364344574
,,,-1.445,0.1610000075171034
,,,-1.44,0.15086866836686189
,,,-1.435,0.1327770709595511
,,,-1.43,0.1508304426748115
,,,-1.425,0.13035159128976673
,,,-1.42,0.1134941371261225
,,,-1.415,0.09400267660049884
,,,-1.41,0.07295915382618445
,,,-1.405,0.10121004511644865
,,,-1.4000000000000001,0.09760494092795284
,,,-1.395,0.10620133491629512
,,,-1.3900000000000001,0.07716361092058864
,,,-1.385,0.10893343883855569
,,,-1.3800000000000001,0.13114355507858266
,,,-1.375,0.11298923780286
,,,-1.37,0.10302951436360464
,,,-1.365,0.07522676511879926
,,,-1.36,0.14444039635784378
,,,-1.355,0.09849237337118558
,,,-1.35,0.1444402114973362
,,,-1.345,0.1188154784550417
,,,-1.34,0.15233034283791608
,,,-1.335,0.133210884912774
,,,-1.33,0.11580557612710024
,,,-1.325,0.1763751406736965
,,,-1.32,0.09911635093022708
,,,-1.315,0.0628837932710816
,,,-1.31,0.10574315626621873
,,,-1.305,0.05872243565138209
,,,-1.3,0.08829186759363745
,,,-1.295,0.0792519938089113
,,,-1.29,0.1422188000249728
,,,-1.285,0.10427387953494442
,,,-1.28,0.13126273351909015
,,,-1.2750000000000001,0.13183687068664912
,,,-1.27,0.1660831060824656
,,,-1.2650000000000001,0.1064549098263481
,,,-1.26,0.11428226949113318
,,,-1.2550000000000001,0.10847260152607555
,,,-1.25,0.13533321126421177
,,,-1.245,0.11944502500968267
,,,-1.24,0.11252139456131151
,,,-1.235,0.12112160852925925
