Y (mm),Density at X = -0.200 mm (atoms/mm³)
2.06925,202977655.8370639
2.0826,229607192.60702148
2.0959499999999998,49420602.37907454
2.1092999999999997,212401771.87506688
2.1226499999999997,193844644.89159304
2.1359999999999997,113743456.95388152
2.1493499999999996,86390326.5998985
2.1626999999999996,54942723.751920536
2.17605,16845443.56006595
2.1894,-60650861.052669
2.20275,29634478.670874536
2.2161,123278746.14350525
2.22945,132776161.48140708
2.2428,29295447.447063383
2.25615,144137119.1490495
2.2695,44387489.28117282
2.28285,125675509.5448097
2.2962,-3849616.973497717
2.3095499999999998,7842338.425552029
2.3228999999999997,-42730280.210643604
2.3362499999999997,116543173.28191726
2.3495999999999997,156131795.66557112
2.3629499999999997,171273416.91998044
2.3762999999999996,130099546.26083201
2.3896499999999996,39884693.833481975
2.403,-131481770.03591442
2.41635,110349915.59328425
2.4297,69346611.4153851
2.44305,67798089.65559448
2.4564,21885623.088334743
2.46975,92933033.3111855
2.4831,54061742.22683028
2.49645,-109897077.77598739
2.5098,127092421.82358743
2.52315,20260009.49792324
2.5364999999999998,60858357.66571105
2.5498499999999997,-51750771.943443105
2.5631999999999997,78185115.59697345
2.5765499999999997,117589800.70344703
2.5898999999999996,101268715.66998631
2.6032499999999996,-135020692.808597
2.6165999999999996,100141360.68617822
2.62995,50032001.72145361
2.6433,3165033.4312021174
2.65665,17876820.024684448
2.67,83852792.63953665
2.68335,37093489.41194311
2.6967,-83815981.37716529
2.71005,-45301461.27362887
2.7234,-48990977.129534684
2.73675,96129200.40220426
2.7500999999999998,140035548.44300383
2.7634499999999997,57431350.29111974
2.7767999999999997,66257779.55498604
2.7901499999999997,-32461958.439929567
2.8034999999999997,50722951.51563605
2.8168499999999996,172947593.6885871
2.8301999999999996,92959731.4580186
2.8435499999999996,-91012949.86146694
2.8569,23325414.720503807
2.87025,98645533.15706506
2.8836,6856106.950502902
2.89695,-352746.34558706736
2.9103,-56715015.10882453
2.92365,26273173.39041609
2.937,-95595670.94016021
2.95035,-81875676.99654177
2.9637,-5450646.220745664
2.9770499999999998,108817888.71906804
2.9903999999999997,-8934237.084513959
